,지역명,평당분양가격,연도,월
0,서울,18189.0,2013,12
1,부산,8111.0,2013,12
2,대구,8080.0,2013,12
3,인천,10204.0,2013,12
4,광주,6098.0,2013,12
5,대전,8321.0,2013,12
6,울산,8090.0,2013,12
7,경기,10855.0,2013,12
8,세종,7601.0,2013,12
9,강원,6230.0,2013,12
10,충북,6589.0,2013,12
11,충남,6365.0,2013,12
12,전북,6282.0,2013,12
13,전남,5678.0,2013,12
14,경북,6168.0,2013,12
15,경남,6473.0,2013,12
16,제주,7674.0,2013,12
17,서울,17925.0,2014,1
18,부산,8111.0,2014,1
19,대구,8080.0,2014,1
20,인천,10204.0,2014,1
21,광주,7326.0,2014,1
22,대전,8321.0,2014,1
23,울산,8090.0,2014,1
24,경기,10855.0,2014,1
25,세종,7600.0,2014,1
26,강원,6230.0,2014,1
27,충북,6589.0,2014,1
28,충남,6365.0,2014,1
29,전북,6281.0,2014,1
30,전남,5678.0,2014,1
31,경북,6168.0,2014,1
32,경남,6485.0,2014,1
33,제주,7900.0,2014,1
34,서울,17925.0,2014,2
35,부산,9078.0,2014,2
36,대구,8077.0,2014,2
37,인천,10408.0,2014,2
38,광주,7611.0,2014,2
39,대전,8321.0,2014,2
40,울산,8090.0,2014,2
41,경기,10791.0,2014,2
42,세종,7532.0,2014,2
43,강원,6230.0,2014,2
44,충북,6611.0,2014,2
45,충남,6379.0,2014,2
46,전북,5946.0,2014,2
47,전남,5678.0,2014,2
48,경북,6234.0,2014,2
49,경남,6502.0,2014,2
50,제주,7900.0,2014,2
51,서울,18016.0,2014,3
52,부산,8965.0,2014,3
53,대구,8101.0,2014,3
54,인천,10408.0,2014,3
55,광주,7346.0,2014,3
56,대전,8341.0,2014,3
57,울산,8153.0,2014,3
58,경기,10784.0,2014,3
59,세종,7814.0,2014,3
60,강원,6141.0,2014,3
61,충북,6625.0,2014,3
62,충남,6287.0,2014,3
63,전북,5966.0,2014,3
64,전남,5696.0,2014,3
65,경북,6317.0,2014,3
66,경남,6610.0,2014,3
67,제주,7900.0,2014,3
68,서울,18098.0,2014,4
69,부산,9402.0,2014,4
70,대구,8267.0,2014,4
71,인천,10000.0,2014,4
72,광주,7346.0,2014,4
73,대전,8341.0,2014,4
74,울산,8153.0,2014,4
75,경기,10876.0,2014,4
76,세종,7908.0,2014,4
77,강원,6373.0,2014,4
78,충북,6678.0,2014,4
79,충남,6552.0,2014,4
80,전북,6277.0,2014,4
81,전남,5736.0,2014,4
82,경북,6412.0,2014,4
83,경남,6599.0,2014,4
84,제주,7900.0,2014,4
85,서울,19446.0,2014,5
86,부산,9501.0,2014,5
87,대구,8274.0,2014,5
88,인천,9844.0,2014,5
89,광주,7523.0,2014,5
90,대전,8341.0,2014,5
91,울산,8153.0,2014,5
92,경기,10646.0,2014,5
93,세종,7934.0,2014,5
94,강원,6350.0,2014,5
95,충북,6598.0,2014,5
96,충남,6591.0,2014,5
97,전북,6306.0,2014,5
98,전남,5656.0,2014,5
99,경북,6409.0,2014,5
100,경남,6610.0,2014,5
101,제주,7900.0,2014,5
102,서울,18867.0,2014,6
103,부산,9453.0,2014,6
104,대구,8360.0,2014,6
105,인천,10058.0,2014,6
106,광주,7659.0,2014,6
107,대전,8333.0,2014,6
108,울산,8153.0,2014,6
109,경기,10266.0,2014,6
110,세종,8067.0,2014,6
111,강원,6350.0,2014,6
112,충북,6587.0,2014,6
113,충남,6644.0,2014,6
114,전북,6351.0,2014,6
115,전남,5609.0,2014,6
116,경북,6554.0,2014,6
117,경남,6615.0,2014,6
118,제주,7914.0,2014,6
119,서울,18742.0,2014,7
120,부산,9457.0,2014,7
121,대구,8360.0,2014,7
122,인천,9974.0,2014,7
123,광주,7612.0,2014,7
124,대전,8333.0,2014,7
125,울산,8153.0,2014,7
126,경기,10124.0,2014,7
127,세종,8067.0,2014,7
128,강원,6268.0,2014,7
129,충북,6586.0,2014,7
130,충남,6805.0,2014,7
131,전북,6319.0,2014,7
132,전남,5780.0,2014,7
133,경북,6556.0,2014,7
134,경남,6613.0,2014,7
135,제주,7914.0,2014,7
136,서울,19274.0,2014,8
137,부산,9411.0,2014,8
138,대구,8370.0,2014,8
139,인천,9973.0,2014,8
140,광주,7622.0,2014,8
141,대전,8333.0,2014,8
142,울산,8493.0,2014,8
143,경기,10134.0,2014,8
144,세종,8141.0,2014,8
145,강원,6268.0,2014,8
146,충북,6586.0,2014,8
147,충남,6914.0,2014,8
148,전북,6436.0,2014,8
149,전남,5685.0,2014,8
150,경북,6563.0,2014,8
151,경남,6606.0,2014,8
152,제주,7914.0,2014,8
153,서울,19404.0,2014,9
154,부산,9258.0,2014,9
155,대구,8449.0,2014,9
156,인천,9973.0,2014,9
157,광주,7802.0,2014,9
158,대전,8048.0,2014,9
159,울산,8493.0,2014,9
160,경기,10501.0,2014,9
161,세종,8282.0,2014,9
162,강원,6419.0,2014,9
163,충북,6584.0,2014,9
164,충남,6882.0,2014,9
165,전북,6719.0,2014,9
166,전남,5804.0,2014,9
167,경북,6577.0,2014,9
168,경남,6767.0,2014,9
169,제주,7833.0,2014,9
170,서울,19759.0,2014,10
171,부산,9110.0,2014,10
172,대구,8403.0,2014,10
173,인천,10016.0,2014,10
174,광주,7707.0,2014,10
175,대전,8038.0,2014,10
176,울산,8627.0,2014,10
177,경기,10397.0,2014,10
178,세종,8527.0,2014,10
179,강원,6631.0,2014,10
180,충북,6529.0,2014,10
181,충남,6831.0,2014,10
182,전북,6581.0,2014,10
183,전남,5753.0,2014,10
184,경북,6778.0,2014,10
185,경남,6881.0,2014,10
186,제주,7724.0,2014,10
187,서울,20242.0,2014,11
188,부산,9208.0,2014,11
189,대구,8439.0,2014,11
190,인천,10020.0,2014,11
191,광주,7752.0,2014,11
192,대전,8067.0,2014,11
193,울산,8891.0,2014,11
194,경기,10356.0,2014,11
195,세종,8592.0,2014,11
196,강원,6365.0,2014,11
197,충북,6724.0,2014,11
198,충남,6940.0,2014,11
199,전북,6583.0,2014,11
200,전남,5768.0,2014,11
201,경북,6881.0,2014,11
202,경남,7125.0,2014,11
203,제주,7724.0,2014,11
204,서울,20269.0,2014,12
205,부산,9208.0,2014,12
206,대구,8253.0,2014,12
207,인천,10020.0,2014,12
208,광주,7748.0,2014,12
209,대전,8067.0,2014,12
210,울산,8891.0,2014,12
211,경기,10379.0,2014,12
212,세종,8560.0,2014,12
213,강원,6365.0,2014,12
214,충북,6743.0,2014,12
215,충남,6989.0,2014,12
216,전북,6583.0,2014,12
217,전남,5784.0,2014,12
218,경북,6989.0,2014,12
219,경남,7332.0,2014,12
220,제주,7739.0,2014,12
221,서울,20670.0,2015,1
222,부산,9204.0,2015,1
223,대구,8327.0,2015,1
224,인천,10017.0,2015,1
225,광주,7752.0,2015,1
226,대전,8067.0,2015,1
227,울산,8526.0,2015,1
228,경기,10391.0,2015,1
229,세종,8560.0,2015,1
230,강원,6348.0,2015,1
231,충북,6749.0,2015,1
232,충남,6976.0,2015,1
233,전북,6583.0,2015,1
234,전남,5784.0,2015,1
235,경북,6992.0,2015,1
236,경남,7592.0,2015,1
237,제주,7739.0,2015,1
238,서울,20670.0,2015,2
239,부산,9235.0,2015,2
240,대구,8416.0,2015,2
241,인천,9876.0,2015,2
242,광주,7756.0,2015,2
243,대전,8067.0,2015,2
244,울산,8526.0,2015,2
245,경기,10355.0,2015,2
246,세종,8560.0,2015,2
247,강원,6350.0,2015,2
248,충북,6747.0,2015,2
249,충남,6980.0,2015,2
250,전북,6583.0,2015,2
251,전남,5833.0,2015,2
252,경북,6953.0,2015,2
253,경남,7588.0,2015,2
254,제주,7739.0,2015,2
255,서울,19415.0,2015,3
256,부산,9279.0,2015,3
257,대구,8441.0,2015,3
258,인천,9876.0,2015,3
259,광주,7861.0,2015,3
260,대전,8067.0,2015,3
261,울산,8629.0,2015,3
262,경기,10469.0,2015,3
263,세종,8555.0,2015,3
264,강원,6182.0,2015,3
265,충북,6783.0,2015,3
266,충남,7161.0,2015,3
267,전북,6542.0,2015,3
268,전남,5825.0,2015,3
269,경북,6997.0,2015,3
270,경남,7668.0,2015,3
271,제주,7826.0,2015,3
272,서울,18842.0,2015,4
273,부산,9327.0,2015,4
274,대구,8446.0,2015,4
275,인천,9938.0,2015,4
276,광주,7914.0,2015,4
277,대전,8145.0,2015,4
278,울산,9380.0,2015,4
279,경기,10684.0,2015,4
280,세종,8546.0,2015,4
281,강원,6924.0,2015,4
282,충북,6790.0,2015,4
283,충남,7017.0,2015,4
284,전북,6551.0,2015,4
285,전남,5940.0,2015,4
286,경북,7006.0,2015,4
287,경남,7683.0,2015,4
288,제주,7285.0,2015,4
289,서울,18367.0,2015,5
290,부산,9345.0,2015,5
291,대구,8568.0,2015,5
292,인천,10551.0,2015,5
293,광주,7877.0,2015,5
294,대전,8272.0,2015,5
295,울산,9192.0,2015,5
296,경기,10685.0,2015,5
297,세종,8546.0,2015,5
298,강원,6846.0,2015,5
299,충북,6805.0,2015,5
300,충남,6975.0,2015,5
301,전북,6556.0,2015,5
302,전남,6050.0,2015,5
303,경북,6966.0,2015,5
304,경남,7717.0,2015,5
305,제주,7285.0,2015,5
306,서울,18374.0,2015,6
307,부산,9515.0,2015,6
308,대구,8542.0,2015,6
309,인천,10443.0,2015,6
310,광주,7881.0,2015,6
311,대전,8079.0,2015,6
312,울산,9190.0,2015,6
313,경기,10573.0,2015,6
314,세종,8671.0,2015,6
315,강원,6986.0,2015,6
316,충북,6682.0,2015,6
317,충남,6939.0,2015,6
318,전북,6601.0,2015,6
319,전남,6243.0,2015,6
320,경북,6887.0,2015,6
321,경남,7715.0,2015,6
322,제주,7343.0,2015,6
323,서울,18152.0,2015,7
324,부산,9559.0,2015,7
325,대구,8542.0,2015,7
326,인천,10443.0,2015,7
327,광주,8089.0,2015,7
328,대전,8079.0,2015,7
329,울산,9190.0,2015,7
330,경기,10518.0,2015,7
331,세종,8669.0,2015,7
332,강원,7019.0,2015,7
333,충북,6601.0,2015,7
334,충남,6935.0,2015,7
335,전북,6750.0,2015,7
336,전남,6286.0,2015,7
337,경북,7035.0,2015,7
338,경남,7723.0,2015,7
339,제주,7343.0,2015,7
340,서울,18443.0,2015,8
341,부산,9581.0,2015,8
342,대구,8795.0,2015,8
343,인천,10449.0,2015,8
344,광주,8231.0,2015,8
345,대전,8079.0,2015,8
346,울산,9215.0,2015,8
347,경기,10573.0,2015,8
348,세종,8695.0,2015,8
349,강원,7008.0,2015,8
350,충북,6603.0,2015,8
351,충남,6942.0,2015,8
352,전북,6580.0,2015,8
353,전남,6289.0,2015,8
354,경북,7037.0,2015,8
355,경남,7665.0,2015,8
356,제주,7343.0,2015,8
357,서울,19275.3,2015,10
358,인천,10437.9,2015,10
359,경기,10355.4,2015,10
360,부산,10269.6,2015,10
361,대구,8850.6,2015,10
362,광주,7986.0,2015,10
363,대전,8098.2,2015,10
364,울산,10074.9,2015,10
365,세종,8718.6,2015,10
366,강원,7151.099999999999,2015,10
367,충북,6705.599999999999,2015,10
368,충남,6926.7,2015,10
369,전북,6778.2,2015,10
370,전남,6352.5,2015,10
371,경북,7088.4,2015,10
372,경남,7560.299999999999,2015,10
373,제주,7365.599999999999,2015,10
374,서울,19965.0,2015,11
375,인천,10507.2,2015,11
376,경기,10223.4,2015,11
377,부산,10332.3,2015,11
378,대구,9071.7,2015,11
379,광주,7999.2,2015,11
380,대전,8098.2,2015,11
381,울산,10041.9,2015,11
382,세종,8738.4,2015,11
383,강원,7164.299999999999,2015,11
384,충북,6613.2,2015,11
385,충남,6930.0,2015,11
386,전북,6788.099999999999,2015,11
387,전남,6299.7,2015,11
388,경북,7227.0,2015,11
389,경남,7583.4,2015,11
390,제주,7365.599999999999,2015,11
391,서울,19935.3,2015,12
392,인천,10507.2,2015,12
393,경기,10553.4,2015,12
394,부산,10319.1,2015,12
395,대구,9774.6,2015,12
396,광주,8170.799999999999,2015,12
397,대전,8098.2,2015,12
398,울산,10041.9,2015,12
399,세종,8794.5,2015,12
400,강원,7164.299999999999,2015,12
401,충북,6616.5,2015,12
402,충남,7487.7,2015,12
403,전북,6543.9,2015,12
404,전남,6299.7,2015,12
405,경북,7197.299999999999,2015,12
406,경남,7613.099999999999,2015,12
407,제주,7484.4,2015,12
408,서울,20156.4,2016,1
409,인천,10530.3,2016,1
410,경기,10553.4,2016,1
411,부산,10401.6,2016,1
412,대구,10183.8,2016,1
413,광주,8477.699999999999,2016,1
414,대전,8098.2,2016,1
415,울산,10051.8,2016,1
416,세종,8794.5,2016,1
417,강원,7170.9,2016,1
418,충북,6626.4,2016,1
419,충남,7491.0,2016,1
420,전북,6534.0,2016,1
421,전남,6299.7,2016,1
422,경북,7197.299999999999,2016,1
423,경남,7679.099999999999,2016,1
424,제주,7484.4,2016,1
425,서울,20166.3,2016,2
426,인천,10533.6,2016,2
427,경기,10622.7,2016,2
428,부산,10408.2,2016,2
429,대구,10111.2,2016,2
430,광주,8477.699999999999,2016,2
431,대전,8098.2,2016,2
432,울산,10051.8,2016,2
433,세종,8794.5,2016,2
434,강원,7170.9,2016,2
435,충북,6626.4,2016,2
436,충남,7497.599999999999,2016,2
437,전북,6534.0,2016,2
438,전남,6345.9,2016,2
439,경북,7190.7,2016,2
440,경남,7781.4,2016,2
441,제주,7484.4,2016,2
442,서울,20370.9,2016,3
443,인천,10527.0,2016,3
444,경기,10609.5,2016,3
445,부산,10487.4,2016,3
446,대구,10292.7,2016,3
447,광주,8547.0,2016,3
448,대전,8098.2,2016,3
449,울산,10117.8,2016,3
450,세종,8811.0,2016,3
451,강원,7240.2,2016,3
452,충북,6534.0,2016,3
453,충남,6979.5,2016,3
454,전북,6438.299999999999,2016,3
455,전남,6339.299999999999,2016,3
456,경북,7190.7,2016,3
457,경남,7863.9,2016,3
458,제주,7636.2,2016,3
459,서울,20595.3,2016,4
460,인천,10685.4,2016,4
461,경기,10556.7,2016,4
462,부산,10457.7,2016,4
463,대구,10335.6,2016,4
464,광주,8910.0,2016,4
465,대전,8081.7,2016,4
466,울산,10137.6,2016,4
467,세종,8844.0,2016,4
468,강원,7062.0,2016,4
469,충북,6494.4,2016,4
470,충남,7157.7,2016,4
471,전북,6299.7,2016,4
472,전남,6352.5,2016,4
473,경북,7184.099999999999,2016,4
474,경남,7890.299999999999,2016,4
475,제주,8972.699999999999,2016,4
476,서울,20671.2,2016,5
477,인천,10490.7,2016,5
478,경기,11361.9,2016,5
479,부산,10388.4,2016,5
480,대구,10335.6,2016,5
481,광주,8982.6,2016,5
482,대전,8134.5,2016,5
483,울산,10154.1,2016,5
484,세종,8844.0,2016,5
485,강원,6986.099999999999,2016,5
486,충북,6534.0,2016,5
487,충남,7147.799999999999,2016,5
488,전북,6418.5,2016,5
489,전남,6359.099999999999,2016,5
490,경북,7180.799999999999,2016,5
491,경남,7857.299999999999,2016,5
492,제주,8880.3,2016,5
493,서울,20486.4,2016,6
494,인천,10573.2,2016,6
495,경기,11688.6,2016,6
496,부산,10395.0,2016,6
497,대구,10342.2,2016,6
498,광주,9032.1,2016,6
499,대전,8454.6,2016,6
500,울산,10127.7,2016,6
501,세종,8853.9,2016,6
502,강원,6943.2,2016,6
503,충북,6755.099999999999,2016,6
504,충남,7253.4,2016,6
505,전북,6372.299999999999,2016,6
506,전남,6494.4,2016,6
507,경북,7385.4,2016,6
508,경남,7883.7,2016,6
509,제주,9329.1,2016,6
510,서울,20638.2,2016,7
511,인천,10632.6,2016,7
512,경기,11652.3,2016,7
513,부산,10421.4,2016,7
514,대구,10329.0,2016,7
515,광주,9048.6,2016,7
516,대전,8454.6,2016,7
517,울산,10127.7,2016,7
518,세종,8867.1,2016,7
519,강원,6933.299999999999,2016,7
520,충북,6847.5,2016,7
521,충남,7253.4,2016,7
522,전북,6365.7,2016,7
523,전남,6494.4,2016,7
524,경북,7418.4,2016,7
525,경남,7837.5,2016,7
526,제주,9329.1,2016,7
527,서울,20740.5,2016,8
528,인천,10675.5,2016,8
529,경기,11751.3,2016,8
530,부산,10510.5,2016,8
531,대구,10385.1,2016,8
532,광주,8995.8,2016,8
533,대전,8454.6,2016,8
534,울산,9820.8,2016,8
535,세종,8890.199999999999,2016,8
536,강원,6923.4,2016,8
537,충북,7009.2,2016,8
538,충남,7375.5,2016,8
539,전북,6365.7,2016,8
540,전남,6487.799999999999,2016,8
541,경북,7385.4,2016,8
542,경남,7867.2,2016,8
543,제주,9497.4,2016,8
544,서울,20733.9,2016,9
545,인천,10454.4,2016,9
546,경기,11088.0,2016,9
547,부산,10560.0,2016,9
548,대구,10385.1,2016,9
549,광주,8979.3,2016,9
550,대전,8306.1,2016,9
551,울산,9820.8,2016,9
552,세종,8873.699999999999,2016,9
553,강원,6930.0,2016,9
554,충북,7012.5,2016,9
555,충남,7378.799999999999,2016,9
556,전북,6352.5,2016,9
557,전남,6507.599999999999,2016,9
558,경북,7428.299999999999,2016,9
559,경남,7890.299999999999,2016,9
560,제주,10173.9,2016,9
561,서울,21120.0,2016,10
562,인천,10553.4,2016,10
563,경기,11322.3,2016,10
564,부산,10220.1,2016,10
565,대구,10385.1,2016,10
566,광주,8992.5,2016,10
567,대전,10117.8,2016,10
568,울산,10576.5,2016,10
569,세종,8910.0,2016,10
570,강원,7052.099999999999,2016,10
571,충북,6923.4,2016,10
572,충남,7415.099999999999,2016,10
573,전북,6359.099999999999,2016,10
574,전남,6540.599999999999,2016,10
575,경북,7570.2,2016,10
576,경남,7959.599999999999,2016,10
577,제주,10173.9,2016,10
578,서울,21021.0,2016,11
579,인천,10398.3,2016,11
580,경기,11701.8,2016,11
581,부산,10173.9,2016,11
582,대구,10259.7,2016,11
583,광주,9157.5,2016,11
584,대전,8860.5,2016,11
585,울산,10758.0,2016,11
586,세종,8916.6,2016,11
587,강원,6834.299999999999,2016,11
588,충북,7012.5,2016,11
589,충남,7514.099999999999,2016,11
590,전북,6362.4,2016,11
591,전남,6784.799999999999,2016,11
592,경북,7570.2,2016,11
593,경남,7784.7,2016,11
594,제주,10253.1,2016,11
595,서울,21261.9,2016,12
596,인천,10335.6,2016,12
597,경기,11731.5,2016,12
598,부산,10734.9,2016,12
599,대구,10375.2,2016,12
600,광주,9183.9,2016,12
601,대전,8860.5,2016,12
602,울산,10758.0,2016,12
603,세종,8926.5,2016,12
604,강원,6887.099999999999,2016,12
605,충북,6867.299999999999,2016,12
606,충남,7504.2,2016,12
607,전북,6613.2,2016,12
608,전남,6857.4,2016,12
609,경북,7626.299999999999,2016,12
610,경남,7880.4,2016,12
611,제주,10335.6,2016,12
612,서울,21285.0,2017,1
613,인천,10335.6,2017,1
614,경기,11728.2,2017,1
615,부산,10705.2,2017,1
616,대구,10299.3,2017,1
617,광주,9167.4,2017,1
618,대전,8860.5,2017,1
619,울산,10758.0,2017,1
620,세종,8926.5,2017,1
621,강원,6880.5,2017,1
622,충북,6946.5,2017,1
623,충남,7375.5,2017,1
624,전북,6619.799999999999,2017,1
625,전남,6857.4,2017,1
626,경북,7629.599999999999,2017,1
627,경남,7887.0,2017,1
628,제주,10309.2,2017,1
629,서울,21331.2,2017,2
630,인천,10451.1,2017,2
631,경기,11903.1,2017,2
632,부산,10701.9,2017,2
633,대구,10421.4,2017,2
634,광주,9167.4,2017,2
635,대전,8979.3,2017,2
636,울산,10767.9,2017,2
637,세종,8926.5,2017,2
638,강원,6897.0,2017,2
639,충북,6745.2,2017,2
640,충남,7378.799999999999,2017,2
641,전북,6629.7,2017,2
642,전남,6906.9,2017,2
643,경북,7613.099999999999,2017,2
644,경남,7867.2,2017,2
645,제주,10342.2,2017,2
646,서울,21021.0,2017,3
647,인천,10490.7,2017,3
648,경기,11985.6,2017,3
649,부산,10857.0,2017,3
650,대구,10560.0,2017,3
651,광주,9183.9,2017,3
652,대전,8979.3,2017,3
653,울산,10767.9,2017,3
654,세종,8926.5,2017,3
655,강원,6824.4,2017,3
656,충북,6520.799999999999,2017,3
657,충남,7382.099999999999,2017,3
658,전북,6745.2,2017,3
659,전남,6897.0,2017,3
660,경북,7560.299999999999,2017,3
661,경남,7943.099999999999,2017,3
662,제주,10220.1,2017,3
663,서울,21007.8,2017,4
664,인천,10490.7,2017,4
665,경기,11893.2,2017,4
666,부산,10853.7,2017,4
667,대구,10490.7,2017,4
668,광주,9418.2,2017,4
669,대전,9038.7,2017,4
670,울산,11807.4,2017,4
671,세종,9005.699999999999,2017,4
672,강원,6824.4,2017,4
673,충북,6732.0,2017,4
674,충남,7329.299999999999,2017,4
675,전북,6946.5,2017,4
676,전남,6949.799999999999,2017,4
677,경북,7649.4,2017,4
678,경남,7923.299999999999,2017,4
679,제주,10965.9,2017,4
680,서울,21120.0,2017,5
681,인천,10860.3,2017,5
682,경기,11464.2,2017,5
683,부산,11711.7,2017,5
684,대구,10490.7,2017,5
685,광주,9537.0,2017,5
686,대전,9038.7,2017,5
687,울산,11807.4,2017,5
688,세종,9005.699999999999,2017,5
689,강원,6877.2,2017,5
690,충북,6765.0,2017,5
691,충남,7332.599999999999,2017,5
692,전북,7029.0,2017,5
693,전남,7144.5,2017,5
694,경북,7797.9,2017,5
695,경남,7979.4,2017,5
696,제주,11414.7,2017,5
697,서울,22001.1,2017,6
698,인천,10975.8,2017,6
699,경기,11513.7,2017,6
700,부산,11932.8,2017,6
701,대구,10711.8,2017,6
702,광주,9609.6,2017,6
703,대전,9038.7,2017,6
704,울산,11820.6,2017,6
705,세종,9018.9,2017,6
706,강원,7032.299999999999,2017,6
707,충북,6741.9,2017,6
708,충남,7504.2,2017,6
709,전북,7263.299999999999,2017,6
710,전남,7085.099999999999,2017,6
711,경북,7863.9,2017,6
712,경남,8065.2,2017,6
713,제주,10804.2,2017,6
714,서울,21690.9,2017,7
715,인천,10962.6,2017,7
716,경기,11975.7,2017,7
717,부산,11926.2,2017,7
718,대구,12771.0,2017,7
719,광주,9550.2,2017,7
720,대전,9035.4,2017,7
721,울산,11820.6,2017,7
722,세종,9018.9,2017,7
723,강원,7081.799999999999,2017,7
724,충북,6741.9,2017,7
725,충남,7507.5,2017,7
726,전북,7243.5,2017,7
727,전남,7085.099999999999,2017,7
728,경북,7860.599999999999,2017,7
729,경남,8134.5,2017,7
730,제주,11005.5,2017,7
731,서울,20367.6,2017,8
732,인천,10800.9,2017,8
733,경기,12015.3,2017,8
734,부산,11843.7,2017,8
735,대구,13180.2,2017,8
736,광주,9579.9,2017,8
737,대전,9035.4,2017,8
738,울산,11820.6,2017,8
739,세종,9022.2,2017,8
740,강원,7484.4,2017,8
741,충북,6765.0,2017,8
742,충남,7448.099999999999,2017,8
743,전북,7289.7,2017,8
744,전남,7306.2,2017,8
745,경북,8055.299999999999,2017,8
746,경남,8299.5,2017,8
747,제주,11005.5,2017,8
748,서울,21473.1,2017,9
749,인천,10896.6,2017,9
